Filename,Misplaced_Items,Syntax_Structure,Package_Errors,Total_Critical_Errors,Warnings,Status
2024_emnlp-main_362.tex,0,0,0,2,0,FAILED
2024_emnlp-main_238.tex,0,0,0,2,0,FAILED
2024_emnlp-main_260.tex,0,0,0,2,0,FAILED
2024_emnlp-main_431.tex,0,0,0,2,0,FAILED
2024_emnlp-main_524.tex,0,0,0,2,0,FAILED
2024_emnlp-main_942.tex,0,25,1,2,0,FAILED
2023_emnlp-main_118.tex,0,223,9,221,1,FAILED
2023_emnlp-main_124.tex,0,58,3,44,1,FAILED
2023_emnlp-main_638.tex,0,0,0,2,0,FAILED
2024_emnlp-main_147.tex,0,0,0,2,0,FAILED
2024_emnlp-main_635.tex,1,24,1,4,43,FAILED
2024_emnlp-main_228.tex,0,24,1,1,1,FAILED
2024_emnlp-main_156.tex,0,125,1,103,0,FAILED
2024_emnlp-main_.431.tex,2,43,8,35,5,FAILED
2024_emnlp-main_293.tex,0,24,1,1,0,FAILED
2024_emnlp-main_302.tex,0,24,1,2,2,FAILED
2024_emnlp-main_324.tex,1,45,1,24,0,FAILED
2024_emnlp-main_336.tex,0,24,1,1,18,FAILED
2024_emnlp-main_339.tex,1,27,1,9,3,FAILED
2024_emnlp-main_445.tex,8,117,1,103,0,FAILED
2024_emnlp-main_508.tex,0,25,1,4,0,FAILED
2024_emnlp-main_553.tex,0,25,1,4,0,FAILED
2024_emnlp-main_614.tex,0,1,0,3,0,FAILED
2024_emnlp-main_672.tex,0,64,83,123,0,FAILED
2024_emnlp-main_701.tex,0,25,1,4,0,FAILED
2024_emnlp-main_704.tex,0,1,0,3,0,FAILED
2024_emnlp-main_730.tex,1,30,1,8,5,FAILED
