Filename,Misplaced_Items,Syntax_Structure,Package_Errors,Total_Critical_Errors,Warnings,Status
2023_emnlp-main_118.tex,0,49,1,38,2,FAILED
2023_emnlp-main_124.tex,0,62,1,46,2,FAILED
2023_emnlp-main_638.tex,0,24,1,1,2,FAILED
2024_emnlp-main_147.tex,0,25,1,2,1,FAILED
2024_emnlp-main_663.tex,0,121,1,102,0,FAILED
2024_emnlp-main_156.tex,0,25,1,2,0,TIMEOUT
2024_emnlp-main_228.tex,0,28,1,5,0,TIMEOUT
2024_emnlp-main_238.tex,48,76,36,139,0,FAILED
2024_emnlp-main_260.tex,0,24,1,1,0,TIMEOUT
2024_emnlp-main_293.tex,1,25,1,6,1,FAILED
2024_emnlp-main_302.tex,54,32,1,65,0,TIMEOUT
2024_emnlp-main_324.tex,325,67,1,374,2,FAILED
2024_emnlp-main_336.tex,0,29,1,6,0,TIMEOUT
2024_emnlp-main_339.tex,2,30,1,19,2,FAILED
2024_emnlp-main_362.tex,48,76,1,102,0,FAILED
2024_emnlp-main_431.tex,0,25,1,4,0,FAILED
2024_emnlp-main_445.tex,0,26,1,3,0,TIMEOUT
2024_emnlp-main_508.tex,0,30,1,7,0,TIMEOUT
2024_emnlp-main_524.tex,10,46,14,48,27,FAILED
2024_emnlp-main_553.tex,0,24,1,1,0,TIMEOUT
2024_emnlp-main_614.tex,1,37,1,20,0,FAILED
2024_emnlp-main_635.tex,0,24,1,9,0,TIMEOUT
2024_emnlp-main_672.tex,0,24,1,1,0,TIMEOUT
2024_emnlp-main_701.tex,183,46,13,229,0,FAILED
2024_emnlp-main_704.tex,0,25,1,4,0,FAILED
