Filename,Misplaced_Items,Syntax_Structure,Package_Errors,Total_Critical_Errors,Warnings,Status
2023_emnlp-main_124.tex,20,116,5,159,32,FAILED
2024_emnlp-main_147.tex,46,79,3,107,0,FAILED
2024_emnlp-main_156.tex,0,25,1,5,1,TIMEOUT
2024_emnlp-main_1025.tex,0,35,3,14,4,FAILED
2024_emnlp-main_1026.tex,0,27,2,7,0,FAILED
2024_emnlp-main_1055.tex,3,34,1,16,0,FAILED
2024_emnlp-main_1067.tex,50,82,1,110,0,FAILED
2024_emnlp-main_1069.tex,46,76,1,105,1,FAILED
2024_emnlp-main_1088.tex,7,75,1,59,61,FAILED
2024_emnlp-main_1127.tex,0,124,1,102,0,FAILED
2024_emnlp-main_1156.tex,105,116,4,207,8,FAILED
PrimacyEffect.tex,0,25,1,2,4,TIMEOUT
2023_emnlp-main_638.tex,46,79,3,107,0,FAILED
2024_emnlp-main_228.tex,45,75,1,103,3,FAILED
2024_emnlp-main_238.tex,415,123,8,529,3,FAILED
2024_emnlp-main_260.tex,415,123,8,529,3,FAILED
2024_emnlp-main_293.tex,1,24,1,2,0,FAILED
2024_emnlp-main_302.tex,194,100,1,275,2,FAILED
2024_emnlp-main_324.tex,0,124,1,102,0,FAILED
2024_emnlp-main_339.tex,44,32,1,61,9,TIMEOUT
2024_emnlp-main_362.tex,0,124,1,102,0,FAILED
2024_emnlp-main_431.tex,238,100,1,325,0,FAILED
2024_emnlp-main_445.tex,47,78,1,109,0,FAILED
2024_emnlp-main_508.tex,48,77,64,168,0,FAILED
2024_emnlp-main_524.tex,48,77,64,168,0,FAILED
2024_emnlp-main_553.tex,48,78,1,104,1,FAILED
2024_emnlp-main_614.tex,49,77,1,104,0,FAILED
2024_emnlp-main_635.tex,48,76,1,106,1,FAILED
2024_emnlp-main_663..tex,41,114,5,137,6,TIMEOUT
2024_emnlp-main_672.tex,48,76,1,102,0,FAILED
2024_emnlp-main_701.tex,0,24,2,4,0,FAILED
2024_emnlp-main_704.tex,8,34,3,35,3,TIMEOUT
2024_emnlp-main_730.tex,3,27,1,10,0,FAILED
2024_emnlp-main_733.tex,169,81,1,229,7,TIMEOUT
2024_emnlp-main_767.tex,367,130,1,452,3,FAILED
2024_emnlp-main_773.tex,148,36,1,161,2,TIMEOUT
2024_emnlp-main_830.tex,0,26,2,40,3,TIMEOUT
2024_emnlp-main_831.tex,48,76,1,102,1,FAILED
2024_emnlp-main_869.tex,48,77,1,103,1,FAILED
2024_emnlp-main_882.tex,3,40,1,22,0,FAILED
2024_emnlp-main_888.tex,48,81,3,109,5,FAILED
2024_emnlp-main_915.tex,54,81,2,113,12,FAILED
2024_emnlp-main_924.tex,0,24,2,4,0,FAILED
2024_emnlp-main_942.tex,48,77,13,115,1,FAILED
2024_emnlp-main_991.tex,4,27,1,26,1,FAILED
2024_emnlp-main_1022.tex,0,133,3,114,7,FAILED
T5ForAfricanLanguage.tex,53,79,1,123,9,FAILED
2023_emnlp-main_118.tex,241,43,1,265,7,TIMEOUT
EstablishingTrustworthiness.tex,1,27,1,10,81,FAILED
