Filename,Misplaced_Items,Syntax_Structure,Package_Errors,Total_Critical_Errors,Warnings,Status
2023_emnlp-main_124.tex,0,24,2,4,0,FAILED
2023_emnlp-main_638.tex,0,24,2,4,0,FAILED
2024_emnlp-main_147.tex,0,24,2,4,0,FAILED
2024_emnlp-main_1025.tex,0,0,0,2,0,FAILED
2024_emnlp-main_1026.tex,0,0,0,2,0,FAILED
2024_emnlp-main_1055.tex,0,0,0,2,0,FAILED
2024_emnlp-main_1067.tex,0,0,0,2,0,FAILED
2024_emnlp-main_1069.tex,0,0,0,2,0,FAILED
2024_emnlp-main_1088.tex,0,0,0,2,0,FAILED
2024_emnlp-main_1127.tex,0,0,0,2,0,FAILED
2024_emnlp-main_1156.tex,0,0,0,2,0,FAILED
PrimacyEffectOfChatGPT.tex,0,0,0,2,0,FAILED
2024_emnlp-main_156.tex,0,24,2,4,0,FAILED
2024_emnlp-main_228.tex,0,24,1,1,1,FAILED
2024_emnlp-main_238.tex,0,0,0,2,0,FAILED
2024_emnlp-main_260.tex,0,0,0,2,0,FAILED
2024_emnlp-main_293.tex,0,0,0,2,0,FAILED
2024_emnlp-main_302.tex,0,0,0,2,0,FAILED
2024_emnlp-main_324.tex,0,0,0,2,0,FAILED
2024_emnlp-main_336.tex,0,0,0,2,0,FAILED
2024_emnlp-main_339.tex,0,0,0,2,0,FAILED
2024_emnlp-main_362.tex,0,0,0,2,0,FAILED
2024_emnlp-main_431.tex,0,0,0,2,0,FAILED
2024_emnlp-main_445.tex,0,0,0,2,0,FAILED
2024_emnlp-main_508.tex,0,0,0,2,0,FAILED
2024_emnlp-main_524.tex,0,0,0,2,0,FAILED
2024_emnlp-main_553.tex,0,0,0,2,0,FAILED
2024_emnlp-main_614.tex,0,0,0,2,0,FAILED
2024_emnlp-main_635.tex,0,0,0,2,0,FAILED
2024_emnlp-main_663.tex,0,0,0,2,0,FAILED
2024_emnlp-main_672.tex,0,0,0,2,0,FAILED
2024_emnlp-main_701.tex,0,0,0,2,0,FAILED
2024_emnlp-main_704.tex,0,0,0,2,0,FAILED
2024_emnlp-main_730.tex,0,0,0,2,0,FAILED
2024_emnlp-main_733.tex,0,0,0,2,0,FAILED
2024_emnlp-main_767.tex,0,0,0,2,0,FAILED
2024_emnlp-main_773.tex,0,0,0,2,0,FAILED
2024_emnlp-main_830.tex,0,0,0,2,0,FAILED
2024_emnlp-main_831.tex,0,0,0,2,0,FAILED
2024_emnlp-main_869.tex,0,0,0,2,0,FAILED
2024_emnlp-main_882.tex,0,0,0,2,0,FAILED
2024_emnlp-main_888.tex,0,0,0,2,0,FAILED
2024_emnlp-main_915.tex,0,0,0,2,0,FAILED
2024_emnlp-main_924.tex,0,0,0,2,0,FAILED
2024_emnlp-main_942.tex,0,0,0,2,0,FAILED
2024_emnlp-main_991.tex,0,0,0,2,0,FAILED
2024_emnlp-main_1022.tex,0,0,0,2,0,FAILED
T5ModelsForAfricanLanguages.tex,0,0,0,2,0,FAILED
2023_emnlp-main_118.tex,0,0,0,0,0,SUCCESS
EstablishingTrustworthiness.tex,0,0,0,2,0,FAILED
