Filename,Misplaced_Items,Syntax_Structure,Package_Errors,Total_Critical_Errors,Warnings,Status
2023_emnlp-main_638.tex,0,28,3,5,0,FAILED
2024_emnlp-main_147.tex,0,25,1,3,0,TIMEOUT
2023_emnlp-main_118.tex,0,26,1,5,3,TIMEOUT
2024_emnlp-main_1025.tex,0,24,1,1,29,TIMEOUT
2024_emnlp-main_1026.tex,0,25,1,2,69,TIMEOUT
2024_emnlp-main_1055.tex,0,24,1,1,8,TIMEOUT
2024_emnlp-main_1067.tex,0,24,1,1,0,FAILED
2024_emnlp-main_1069.tex,0,24,2,4,0,FAILED
2024_emnlp-main_1088.tex,0,28,3,5,0,FAILED
2024_emnlp-main_1127.tex,0,24,2,4,0,FAILED
2024_emnlp-main_1156.tex,0,24,2,4,0,FAILED
PrimacyEffect.tex,0,24,1,1,21,TIMEOUT
2024_emnlp-main_156.tex,0,29,2,9,31,FAILED
2024_emnlp-main_228.tex,0,24,2,4,0,FAILED
2024_emnlp-main_238.tex,48,76,36,137,44,FAILED
2024_emnlp-main_260.tex,0,28,3,5,0,FAILED
2024_emnlp-main_293.tex,0,28,2,3,4,FAILED
2024_emnlp-main_302.tex,0,239,3,6,53,TIMEOUT
2024_emnlp-main_324.tex,0,25,1,2,40,TIMEOUT
2024_emnlp-main_339.tex,0,24,1,1,0,TIMEOUT
2024_emnlp-main_635.tex,0,24,1,1,40,TIMEOUT
2024_emnlp-main_362.tex,0,27,1,1,21,TIMEOUT
2024_emnlp-main_431.tex,0,24,2,4,0,FAILED
2024_emnlp-main_445.tex,0,129,2,104,0,FAILED
2024_emnlp-main_508.tex,10,29,1,16,0,FAILED
2024_emnlp-main_524.tex,0,24,2,4,0,FAILED
2024_emnlp-main_553.tex,0,24,1,1,8,TIMEOUT
2024_emnlp-main_614.tex,0,301,3,4,48,TIMEOUT
2024_emnlp-main_336.tex,0,24,1,1,0,FAILED
2024_emnlp-main_663..tex,0,26,1,3,6,TIMEOUT
2024_emnlp-main_672.tex,0,24,1,1,0,TIMEOUT
2024_emnlp-main_701.tex,0,28,3,5,0,FAILED
2024_emnlp-main_704.tex,0,28,3,5,0,FAILED
2024_emnlp-main_730.tex,0,25,2,5,0,FAILED
2024_emnlp-main_733.tex,60,73,1,116,6,TIMEOUT
2024_emnlp-main_767.tex,49,78,1,105,0,FAILED
2024_emnlp-main_773.tex,0,27,1,1,26,TIMEOUT
2024_emnlp-main_830.tex,0,24,1,33,34,TIMEOUT
2024_emnlp-main_831.tex,0,51,1,31,4,FAILED
2024_emnlp-main_869.tex,2,77,2,9,1,FAILED
2024_emnlp-main_882.tex,0,24,1,3,2,FAILED
2024_emnlp-main_888.tex,0,30,2,8,26,TIMEOUT
2024_emnlp-main_915.tex,0,24,2,4,0,FAILED
2024_emnlp-main_924.tex,2,41,1,18,1,FAILED
2024_emnlp-main_942.tex,0,24,1,1,16,TIMEOUT
2024_emnlp-main_991.tex,4,26,1,10,0,FAILED
2024_emnlp-main_1022.tex,0,24,1,1,0,FAILED
T5ForAfricanLanguage.tex,0,28,3,11,0,FAILED
2023_emnlp-mian_124.tex,0,24,2,4,0,FAILED
EstablishingTrustworthiness.tex,0,27,2,6,0,FAILED
