Filename,Misplaced_Items,Syntax_Structure,Package_Errors,Total_Critical_Errors,Warnings,Status
2023_emnlp-main_124.tex,0,24,1,1,62,FAILED
2023_emnlp-main_638.tex,0,24,1,1,7,FAILED
2024_emnlp-main_147.tex,0,35,1,12,4,FAILED
2024_emnlp-main_1025.tex,0,32,3,12,2,TIMEOUT
2024_emnlp-main_1026.tex,0,24,1,1,1,FAILED
2024_emnlp-main_1055.tex,0,46,1,24,2,FAILED
2024_emnlp-main_1067.tex,0,24,1,1,4,FAILED
2024_emnlp-main_1069.tex,0,24,1,1,10,FAILED
2024_emnlp-main_1088.tex,0,46,1,23,3,FAILED
2024_emnlp-main_1127.tex,0,28,1,5,4,FAILED
2024_emnlp-main_1156.tex,0,27,1,5,2,FAILED
PrimacyEffect.tex,0,27,1,4,5,FAILED
2024_emnlp-main_156.tex,0,28,1,5,1,FAILED
2024_emnlp-main_228.tex,0,24,1,1,4,FAILED
2024_emnlp-main_238.tex,0,24,1,1,0,FAILED
2024_emnlp-main_260.tex,0,27,1,5,78,FAILED
2024_emnlp-main_293.tex,0,27,1,4,0,FAILED
2024_emnlp-main_302.tex,0,26,1,3,3,FAILED
2024_emnlp-main_324.tex,0,24,1,1,1,FAILED
2024_emnlp-main_339.tex,0,26,1,3,0,FAILED
2024_emnlp-main_635.tex,0,44,1,21,107,FAILED
2024_emnlp-main_362.tex,0,24,1,1,2,FAILED
2024_emnlp-main_431.tex,0,25,1,5,6,FAILED
2024_emnlp-main_445.tex,0,25,2,3,4,FAILED
2024_emnlp-main_508.tex,0,24,1,1,7,FAILED
2024_emnlp-main_524.tex,0,24,1,1,125,FAILED
2024_emnlp-main_553.tex,0,24,1,1,4,FAILED
2024_emnlp-main_614.tex,0,31,1,8,9,FAILED
2024_emnlp-main_336.tex,0,24,1,1,6,FAILED
2024_emnlp-main_663.tex,0,83,1,60,5,FAILED
2024_emnlp-main_672.tex,0,65,1,44,6,FAILED
2024_emnlp-main_701.tex,0,52,1,29,6,FAILED
2024_emnlp-main_704.tex,0,24,1,1,56,FAILED
2024_emnlp-main_730.tex,0,127,2,106,8,FAILED
2024_emnlp-main_733.tex,0,24,1,1,66,TIMEOUT
2024_emnlp-main_767.tex,0,171,1,148,2,FAILED
2024_emnlp-main_773.tex,0,52,5,35,13,FAILED
2024_emnlp-main_830.tex,0,24,1,1,0,FAILED
2024_emnlp-main_831.tex,0,53,1,35,43,FAILED
2024_emnlp-main_869.tex,0,24,1,1,2,FAILED
2024_emnlp-main_882_.tex,0,35,1,3,0,FAILED
2024_emnlp-main_888.tex,0,66,1,43,6,FAILED
2024_emnlp-main_915.tex,0,33,5,41,8,FAILED
2024_emnlp-main_924.tex,0,25,2,3,85,FAILED
2024_emnlp-main_942.tex,0,27,4,7,3,FAILED
2024_emnlp-main_991.tex,0,24,1,1,0,FAILED
2024_emnlp-main_1022.tex,4,25,2,9,0,FAILED
T5ForAfricanLanguage.tex,0,37,1,14,0,FAILED
2023_emnlp-main_118.tex,0,42,3,21,3,FAILED
EstablishingTrustworthiness.tex,0,24,1,1,0,FAILED
