File Name,Size (Bytes)
1022.pdf,16759928
1026.pdf,12514243
1055.pdf,14774526
1067.pdf,13124509
1069.pdf,16058434
1088.pdf,11529917
1127.pdf,10685635
1156.pdf,14049790
118.pdf,10549077
124.pdf,10984388
147.pdf,16018928
156.pdf,12860547
228.pdf,9035764
238.pdf,10382159
260.pdf,13025429
293.pdf,11911097
336.pdf,11418988
635.pdf,13889956
638.pdf,11997273
663.pdf,11708863
672.pdf,11408016
701.pdf,10303016
704.pdf,10919465
730.pdf,15377119
767.pdf,14857969
773.pdf,10469723
830.pdf,6675531
831.pdf,7719975
869.pdf,7315189
888.pdf,10782873
915.pdf,12647007
924.pdf,10629330
942.pdf,8680903
991.pdf,14243072
EstablishingTrustworthiness.pdf,11222690
PrimacyEffect.pdf,7645993
T5ForAfricanLanguages.pdf,10796179
