File Name,Size (Bytes)
1025.pdf,2137152
1026.pdf,2546807
1067.pdf,3218279
1069.pdf,2971351
1088.pdf,2731335
1127.pdf,1631108
1156.pdf,3077616
118.pdf,2901530
124.pdf,2461443
147.pdf,2690123
156.pdf,3012414
228.pdf,2174757
238.pdf,1920584
260.pdf,2364869
293.pdf,2611637
324.pdf,2752430
336.pdf,2787140
339.pdf,2551006
362.pdf,2872562
431.pdf,2498326
445.pdf,1958231
508.pdf,2482068
524.pdf,3583217
638.pdf,2889117
672.pdf,2117517
701.pdf,1438873
704.pdf,2804683
730.pdf,2123602
767.pdf,3100135
773.pdf,2286405
830.pdf,1892916
831.pdf,2937500
869.pdf,1672289
882.pdf,3569758
888.pdf,2970837
915.pdf,2225086
924.pdf,2968843
991.pdf,2074680
EstablishingTrustworthiness.pdf,2695026
PrimacyEffectOfChatGPT.pdf,1968937
T5ModelsForAfricanLanguages.pdf,2429969
