File Name,Size (Bytes)
1025.pdf,1940961
1026.pdf,2104234
1055.pdf,2174547
1067.pdf,2306671
1069.pdf,2061921
1088.pdf,2443276
1127.pdf,1368260
1156.pdf,2639292
118.pdf,3040003
124.pdf,2838342
147.pdf,2758607
156.pdf,778845
228.pdf,1973376
238.pdf,2294330
260.pdf,2256425
293.pdf,2112604
302.pdf,1778721
324.pdf,1502447
336.pdf,1516177
339.pdf,2402539
362.pdf,2738314
431.pdf,2422085
445.pdf,1778784
508.pdf,1908864
524.pdf,2188649
553.pdf,2819104
614-Error.pdf,635528
635.pdf,2999763
638.pdf,2386057
663.pdf,1679425
672.pdf,1679926
701-Error.pdf,1190891
704.pdf,2001090
730.pdf,2783502
767.pdf,2681581
773.pdf,1921854
830.pdf,1536065
869.pdf,1487173
882.pdf,3501806
888.pdf,1751369
915.pdf,2050099
924.pdf,2208892
942.pdf,2271422
991.pdf,2641940
EstablishingTrustworthiness.pdf,1519827
PrimacyEffectofChatGPT.pdf,1599424
T5ModelsForAfricanLanguages.pdf,1900641
