Directory,Report PDF,Old File,New File,Total Changes,Replacements,Insertions,Deletions,Styling,Annotations
ChatGPT\Scanned,[Compare Report] 2023_emnlp-main_124.pdf,2023.emnlp-main.124.pdf,2023_emnlp-main_124.pdf,1213,238,65,207,496,496
ChatGPT\Scanned,[Compare Report] 2024_emnlp-main_293.pdf,2024.emnlp-main.293.pdf,2024_emnlp-main_293.pdf,1329,101,151,107,649,649
ChatGPT\Scanned,[Compare Report] 2024_emnlp-main_362.pdf,2024.emnlp-main.362.pdf,2024_emnlp-main_362.pdf,343,23,0,148,27,27
ChatGPT\Scanned,[Compare Report] 2024_emnlp-main_730.pdf,2024.emnlp-main.730.pdf,2024_emnlp-main_730.pdf,1181,293,50,221,281,281
ChatGPT\Scanned,[Compare Report] 2024_emnlp-main_882.pdf,2024.emnlp-main.882.pdf,2024_emnlp-main_882.pdf,1544,143,51,513,236,236
ChatGPT\Scanned,[Compare Report] 2024_emnlp-main_991.pdf,2024.emnlp-main.991.pdf,2024_emnlp-main_991.pdf,1236,89,149,215,453,453
ChatGPT\Scanned,[Compare Report] 2024_emnlp-main_1025.pdf,2024.emnlp-main.1025.pdf,2024_emnlp-main_1025.pdf,888,131,139,353,170,170
ChatGPT\Scanned,[Compare Report] 2024_emnlp-main_1055.pdf,2024.emnlp-main.1055.pdf,2024_emnlp-main_1055.pdf,1023,200,74,166,353,353
ChatGPT\Scanned,[Compare Report] 2024_emnlp-main_1088.pdf,2024.emnlp-main.1088.pdf,2024_emnlp-main_1088.pdf,1485,266,84,223,544,544
ChatGPT\Scanned,[Compare Report] EstablishingTrustworthiness.pdf,EstablishingTrustworthiness.pdf,EstablishingTrustworthiness.pdf,1085,89,85,167,402,402
ChatGPT\Unscanned,[Compare Report] 2024_emnlp-main_293.pdf,2024.emnlp-main.293.pdf,2024_emnlp-main_293.pdf,1243,72,140,104,604,604
ChatGPT\Unscanned,[Compare Report] 2024_emnlp-main_431.pdf,2024.emnlp-main.431.pdf,2024_emnlp-main_431.pdf,1055,78,155,311,302,302
