Sheet Name,Statistic,Misplaced,Undefined,Missing,Extra,Runaway,Environment,File_Ended,Package_Errors,LaTeX_Errors,Not_Found,Total_Critical,Capacity,Overfull,Underfull,Reference,Page Difference,Replacements Ratio,Insertions Ratio,Deletions Ratio,Styling Ratio,Annotations Ratio,Status Probabilities,Metric,,File Name,Original Pages,Original File Size,ChatGPT\Long Prompt\Scanned,ChatGPT\Long Prompt\Unscanned,ChatGPT\Scanned,ChatGPT\Unscanned,Deepseek\Scanned,Deepseek\Unscanned,Gemini\Scanned,Gemini\Unscanned,Qwen\Scanned,Qwen\Unscanned
ChatGPT\Conference_latex_papers\EMNLP,Average,7.24,0.37,1.51,0.65,0.29,0.00,0.29,0.00,0.16,0.00,0.00,0.00,0.39,0.33,0.16,1.13,0.01,0.02,0.03,0.06,0.06,85.7%,% chance of error,,2023_emnlp-main_118.pdf,8,20007,131.25,,,,175.00,123.73,,,186.38,143.18
ChatGPT\Conference_latex_papers\EMNLP,Maximum,245.00,11.00,36.00,16.00,3.00,0.00,3.00,0.00,3.00,0.00,0.00,0.00,6.00,11.00,3.00,4.00,0.14,0.18,0.29,0.49,0.49,0.0%,% chance of success,,2023_emnlp-main_124.pdf,11,242252,73.36,66.00,110.27,,,76.17,,,93.09,92.17
ChatGPT\Conference_latex_papers\EMNLP,Standard Deviation,35.37,1.60,5.45,2.97,0.83,0.00,0.83,0.00,0.65,0.00,0.00,0.00,1.23,1.61,0.62,3.89,0.03,0.05,0.07,0.14,0.14,14.3%,% chance of timeout,,2023_emnlp-main_638.pdf,13,134670,73.67,68.92,,,105.58,100.69,,,106.33,90.31
ChatGPT\Conference_latex_papers\EMNLP,Variance,1250.92,2.56,29.68,8.84,0.69,0.00,0.69,0.00,0.42,0.00,0.00,0.00,1.50,2.59,0.38,15.11,0.00,0.00,0.01,0.02,0.02,,,,2024_emnlp-main_.431.pdf,0,260312,,,,,,,,,,
ChatGPT\Conference_latex_papers\EMNLP\Long Prompt,Average,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.43,0.06,0.03,0.14,0.16,0.16,85.2%,% chance of error,,2024_emnlp-main_1022.pdf,13,298200,,,,,139.62,,56.92,,105.77,
ChatGPT\Conference_latex_papers\EMNLP\Long Prompt,Maximum,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.19,0.08,0.41,0.47,0.47,14.8%,% chance of success,,2024_emnlp-main_1025.pdf,15,197987,,,59.20,,61.47,105.38,,,,112.50
ChatGPT\Conference_latex_papers\EMNLP\Long Prompt,Standard Deviation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.37,0.06,0.03,0.15,0.18,0.18,0.0%,% chance of timeout,,2024_emnlp-main_1026.pdf,13,253290,,,,,76.46,79.31,,,85.31,70.77
ChatGPT\Conference_latex_papers\EMNLP\Long Prompt,Variance,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.39,0.00,0.00,0.02,0.03,0.03,,,,2024_emnlp-main_1055.pdf,9,315690,,,113.67,,104.89,,,,97.67,53.31
ChatGPT\Conference_latex_papers\ICLR,Average,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.0%,% chance of error,,2024_emnlp-main_1067.pdf,10,190320,,,,,122.40,97.14,61.10,,117.80,82.93
ChatGPT\Conference_latex_papers\ICLR,Maximum,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0%,% chance of success,,2024_emnlp-main_1069.pdf,18,14010,,,,,,67.72,,,108.36,56.28
